assembly_accession	Description	Phylogroup	#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP	taxid	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	isComplete	isContamination	isHeterogeneity
GCF_001901145.1	Escherichia coli strain M11, complete genome	B1	Escherichia coli	M11	19668	SAMN03252445 	PRJNA269191	Proteobacteria	Gammaproteobacteria	5.30613	50.5126	chromosome:NZ_CP010206.1/CP010206.1; plasmid A:NZ_CP010207.1/CP010207.1; plasmid B:NZ_CP010208.1/CP010208.1; plasmid C:NZ_CP010209.1/CP010209.1; plasmid D:NZ_CP010210.1/CP010210.1; plasmid E:NZ_CP010211.1/CP010211.1; plasmid F:NZ_CP010212.1/CP010212.1	-	7	5481	5077	2016-12-12	2017-02-26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/145/GCF_001901145.1_ASM190114v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/145/GCA_001901145.1_ASM190114v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.3	0	5306134	0	7	7	5032791	5032791	758019	758019	5032791	5032791	50.5	2.92	87.18	11	4964	3	1199	5	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001901165.1	Escherichia coli strain M15, complete genome	B1	Escherichia coli	M15	19668	SAMN03252446 	PRJNA269191	Proteobacteria	Gammaproteobacteria	5.3285	50.4668	chromosome:NZ_CP010213.1/CP010213.1; plasmid A:NZ_CP010214.1/CP010214.1; plasmid B:NZ_CP010215.1/CP010215.1; plasmid C:NZ_CP010216.1/CP010216.1; plasmid D:NZ_CP010217.1/CP010217.1; plasmid E:NZ_CP010218.1/CP010218.1	-	6	5486	5077	2016-12-12	2017-02-26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/165/GCF_001901165.1_ASM190116v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/165/GCA_001901165.1_ASM190116v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.3	0	5328503	0	6	6	5103562	5103562	888083	888083	5103562	5103562	50.5	2.75	87.25	11	4984	3	1199	5	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001901185.1	Escherichia coli strain M18, complete genome	B1	Escherichia coli	M18	19668	SAMN03252447 	PRJNA269191	Proteobacteria	Gammaproteobacteria	5.16014	50.5051	chromosome:NZ_CP010219.1/CP010219.1; plasmid A:NZ_CP010220.1/CP010220.1	-	2	5345	4994	2016-12-12	2017-02-26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/185/GCF_001901185.1_ASM190118v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/185/GCA_001901185.1_ASM190118v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.34	0	5160136	0	2	2	5102554	5102554	2580068	2580068	5102554	5102554	50.5	5.96	87.89	11	4843	3	1199	5	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001901215.1	Escherichia coli strain M19, complete genome	B1	Escherichia coli	M19	19668	SAMN03252448 	PRJNA269191	Proteobacteria	Gammaproteobacteria	5.32715	50.4664	chromosome:NZ_CP010221.1/CP010221.1; plasmid A:NZ_CP010222.1/CP010222.1; plasmid B:NZ_CP010223.1/CP010223.1; plasmid C:NZ_CP010224.1/CP010224.1; plasmid D:NZ_CP010225.1/CP010225.1	-	5	5483	5078	2016-12-12	2017-02-26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/215/GCF_001901215.1_ASM190121v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/215/GCA_001901215.1_ASM190121v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.3	0	5327147	0	5	5	5102172	5102172	1065429	1065429	5102172	5102172	50.5	2.77	87.24	11	4985	3	1199	5	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001901315.1	Escherichia coli strain S1, complete genome	A	Escherichia coli	S1	19668	SAMN03252449 	PRJNA269191	Proteobacteria	Gammaproteobacteria	4.70721	50.7999	chromosome:NZ_CP010226.1/CP010226.1; plasmid A:NZ_CP010227.1/CP010227.1	-	2	4917	4509	2016-12-12	2017-02-26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/315/GCF_001901315.1_ASM190131v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/315/GCA_001901315.1_ASM190131v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.37	0.1	0	4707208	0	2	2	4702107	4702107	2353604	2353604	4702107	4702107	50.8	0.09	87.27	11	4433	6	1163	4	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001901365.1	Escherichia coli strain S30, complete genome	A	Escherichia coli	S30	19668	SAMN03252453 	PRJNA269191	Proteobacteria	Gammaproteobacteria	5.07285	50.6299	chromosome:NZ_CP010231.1/CP010231.1; plasmid A:NZ_CP010232.1/CP010232.1; plasmid B:NZ_CP010233.1/CP010233.1; plasmid C:NZ_CP010234.1/CP010234.1	-	4	5272	4833	2016-12-12	2017-02-26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/365/GCF_001901365.1_ASM190136v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/365/GCA_001901365.1_ASM190136v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	5072853	0	4	4	4664102	4664102	1268213	1268213	4664102	4664102	50.7	1.37	87.03	11	4729	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001901425.1	Escherichia coli strain C7, complete genome	B1	Escherichia coli	C7	19668	SAMN03252414 	PRJNA269191	Proteobacteria	Gammaproteobacteria	5.37241	50.6861	chromosome:NZ_CP010240.1/CP010240.1; plasmid A:NZ_CP010241.1/CP010241.1	-	2	5698	5321	2016-12-12	2017-02-26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/425/GCF_001901425.1_ASM190142v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/425/GCA_001901425.1_ASM190142v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.93	0.31	0	5372411	0	2	2	5310035	5310035	2686205	2686205	5310035	5310035	50.7	0.86	87.71	11	5206	2	1199	6	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001901445.1	Escherichia coli strain S56, complete genome	B1	Escherichia coli	S56	19668	SAMN03252458 	PRJNA269191	Proteobacteria	Gammaproteobacteria	4.99252	50.8244	chromosome:NZ_CP010242.1/CP010242.1; plasmid A:NZ_CP010243.1/CP010243.1; plasmid B:NZ_CP010244.1/CP010244.1; plasmid C:NZ_CP010245.1/CP010245.1	-	4	5171	4808	2016-12-12	2017-02-26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/445/GCF_001901445.1_ASM190144v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/445/GCA_001901445.1_ASM190144v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.3	0	4992522	0	4	4	4740150	4740150	1248130	1248130	4740150	4740150	50.8	6.18	87.97	11	4704	3	1198	6	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001932515.1	Escherichia coli strain tolC-, complete genome	A	Escherichia coli	tolC-	19668	SAMN06115651 	PRJNA356505	Proteobacteria	Gammaproteobacteria	4.7922	50.7	chromosome:NZ_CP018801.1/CP018801.1	-	1	4980	4637	2017-01-03	2017-02-26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/932/515/GCF_001932515.1_ASM193251v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/932/515/GCA_001932515.1_ASM193251v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.67	0.04	0	4792200	0	1	1	4792200	4792200	4792200	4792200	4792200	4792200	50.7	0	87.37	11	4486	2	1170	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001999185.1	Escherichia coli strain MGY, complete genome	A	Escherichia coli	MGY	19668	SAMN06227049 	PRJNA361209	Proteobacteria	Gammaproteobacteria	4.64328	50.8	chromosome:NZ_CP019629.1/CP019629.1	-	1	4786	4471	2017-02-14	2017-02-26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/185/GCF_001999185.1_ASM199918v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/999/185/GCA_001999185.1_ASM199918v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4643284	0	1	1	4643284	4643284	4643284	4643284	4643284	4643284	50.8	0	87.56	11	4323	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002007705.1	Escherichia coli strain NCTC86, complete genome	A	Escherichia coli	NCTC86	19668	SAMN06314933 	PRJNA373816	Proteobacteria	Gammaproteobacteria	5.11192	50.7	chromosome:NZ_CP019778.1/CP019778.1	-	1	5251	4813	2017-02-28	2017-03-02	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/705/GCF_002007705.1_ASM200770v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/705/GCA_002007705.1_ASM200770v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.14	0	5111920	0	1	1	5111920	5111920	5111920	5111920	5111920	5111920	50.7	0	87.16	11	4772	1	1167	5	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002011945.1	Escherichia coli strain Ecol_224, complete genome	B1	Escherichia coli	Ecol_224	19668	SAMN05511177 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.2231	50.7285	chromosome:NZ_CP018948.1/CP018948.1; plasmid pEC224_1:NZ_CP018947.1/CP018947.1; plasmid pEC224_2:NZ_CP018946.1/CP018946.1; plasmid pEC224_4:NZ_CP018944.1/CP018944.1; plasmid pEC224_5:NZ_CP018943.1/CP018943.1; plasmid pEC224_6:NZ_CP018942.1/CP018942.1; plasmid pEC224_7:NZ_CP018941.1/CP018941.1; plasmid pEC224_8:NZ_CP018940.1/CP018940.1; plasmid pEC224_KPC:NZ_CP018945.1/CP018945.1	-	9	5551	5154	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/011/945/GCF_002011945.1_ASM201194v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/011/945/GCA_002011945.1_ASM201194v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.15	0	5223096	0	9	9	4891786	4891786	580344	580344	4891786	4891786	50.7	1.68	87.35	11	5010	3	1200	4	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002011965.1	Escherichia coli strain Ecol_276, complete genome	B2	Escherichia coli	Ecol_276	19668	SAMN05511184 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.12631	50.7236	chromosome:NZ_CP018953.1/CP018953.1; plasmid pEC276_1:NZ_CP018952.1/CP018952.1; plasmid pEC276_2:NZ_CP018951.1/CP018951.1; plasmid pEC276_3:NZ_CP018950.1/CP018950.1; plasmid pEC276_KPC:NZ_CP018949.1/CP018949.1	-	5	5390	5045	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/011/965/GCF_002011965.1_ASM201196v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/011/965/GCA_002011965.1_ASM201196v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.37	0.33	0	5126305	0	5	5	4898796	4898796	1025261	1025261	4898796	4898796	50.7	5.12	87.89	11	4875	6	1165	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002011985.1	Escherichia coli strain Ecol_316, complete genome	D	Escherichia coli	Ecol_316	19668	SAMN05511183 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.47114	50.7822	chromosome:NZ_CP018957.1/CP018957.1; plasmid pEC316_2:NZ_CP018955.1/CP018955.1; plasmid pEC316_3:NZ_CP018954.1/CP018954.1; plasmid pEC316_KPC:NZ_CP018956.1/CP018956.1	-	4	5663	5294	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/011/985/GCF_002011985.1_ASM201198v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/011/985/GCA_002011985.1_ASM201198v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.25	0	5471138	0	4	4	5056072	5056072	1367784	1367784	5056072	5056072	50.8	1.91	87.85	11	5105	1	1168	4	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012005.1	Escherichia coli strain Ecol_517, complete genome	C	Escherichia coli	Ecol_517	19668	SAMN05511179 	PRJNA316786	Proteobacteria	Gammaproteobacteria	4.9681	50.6611	chromosome:NZ_CP018965.1/CP018965.1; plasmid pEC517_1:NZ_CP018964.1/CP018964.1; plasmid pEC517_KPC:NZ_CP018963.1/CP018963.1	-	3	5165	4753	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/005/GCF_002012005.1_ASM201200v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/005/GCA_002012005.1_ASM201200v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.28	0	4968096	0	3	3	4794957	4794957	1656032	1656032	4794957	4794957	50.7	1.55	87.3	11	4683	3	1200	4	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012025.1	Escherichia coli strain Ecol_542, complete genome	B2	Escherichia coli	Ecol_542	19668	SAMN05511186 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.39532	50.8423	chromosome:NZ_CP018970.1/CP018970.1; plasmid pEC542_1:NZ_CP018969.1/CP018969.1; plasmid pEC542_3:NZ_CP018967.1/CP018967.1; plasmid pEC542_4:NZ_CP018966.1/CP018966.1; plasmid pEC542_KPC:NZ_CP018968.1/CP018968.1	-	5	5717	5321	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/025/GCF_002012025.1_ASM201202v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/025/GCA_002012025.1_ASM201202v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.63	0	5395325	0	5	5	5259387	5259387	1079065	1079065	5259387	5259387	50.8	3.01	87.81	11	5203	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012045.1	Escherichia coli strain Ecol_545, complete genome	D	Escherichia coli	Ecol_545	19668	SAMN05511169 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.27603	50.6119	chromosome:NZ_CP018976.1/CP018976.1; plasmid pEC545_1:NZ_CP018975.1/CP018975.1; plasmid pEC545_3:NZ_CP018973.1/CP018973.1; plasmid pEC545_4:NZ_CP018972.1/CP018972.1; plasmid pEC545_5:NZ_CP018971.1/CP018971.1; plasmid pEC545_KPC:NZ_CP018974.1/CP018974.1	-	6	5461	5119	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/045/GCF_002012045.1_ASM201204v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/045/GCA_002012045.1_ASM201204v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.19	0	5276034	0	6	6	5031843	5031843	879339	879339	5031843	5031843	50.6	1.98	87.98	11	4947	3	1200	4	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012065.1	Escherichia coli strain Ecol_656, complete genome	B2	Escherichia coli	Ecol_656	19668	SAMN05511161 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.40514	50.775	chromosome:NZ_CP018979.1/CP018979.1; plasmid pEC656_1:NZ_CP018978.1/CP018978.1; plasmid pEC656_KPC:NZ_CP018977.1/CP018977.1	-	3	5681	5324	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/065/GCF_002012065.1_ASM201206v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/065/GCA_002012065.1_ASM201206v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.33	0	5405139	0	3	3	5228864	5228864	1801713	1801713	5228864	5228864	50.8	1.86	87.73	11	5143	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012085.1	Escherichia coli strain Ecol_AZ146, complete genome	B2	Escherichia coli	Ecol_AZ146	19668	SAMN05511152 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.72741	50.6901	chromosome:NZ_CP018991.1/CP018991.1; plasmid pECAZ146_1:NZ_CP018990.1/CP018990.1; plasmid pECAZ146_3:NZ_CP018988.1/CP018988.1; plasmid pECAZ146_4:NZ_CP018987.1/CP018987.1; plasmid pECAZ146_5:NZ_CP018986.1/CP018986.1; plasmid pECAZ146_6:NZ_CP018985.1/CP018985.1; plasmid pECAZ146_7:NZ_CP018984.1/CP018984.1; plasmid pECAZ146_KPC:NZ_CP018989.1/CP018989.1	-	8	6101	5676	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/085/GCF_002012085.1_ASM201208v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/085/GCA_002012085.1_ASM201208v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.33	0	5727407	0	8	8	5434745	5434745	715925	715925	5434745	5434745	50.7	3.27	87.6	11	5551	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012105.1	Escherichia coli strain Ecol_AZ147, complete genome	A	Escherichia coli	Ecol_AZ147	19668	SAMN05511182 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.09048	50.8824	chromosome:NZ_CP018995.1/CP018995.1; plasmid pECAZ147_1:NZ_CP018994.1/CP018994.1; plasmid pECAZ147_2:NZ_CP018993.1/CP018993.1; plasmid pECAZ147_KPC:NZ_CP018992.1/CP018992.1	-	4	5322	4898	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/105/GCF_002012105.1_ASM201210v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/105/GCA_002012105.1_ASM201210v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	5090480	0	4	4	4708839	4708839	1272620	1272620	4708839	4708839	50.9	1.51	87.45	11	4820	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012125.1	Escherichia coli strain Ecol_AZ155, complete genome	A	Escherichia coli	Ecol_AZ155	19668	SAMN05511168 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.09022	50.8845	chromosome:NZ_CP019005.1/CP019005.1; plasmid pECAZ155_2:NZ_CP019002.1/CP019002.1; plasmid pECAZ155_3:NZ_CP019003.1/CP019003.1; plasmid pECAZ155_4:NZ_CP019004.1/CP019004.1; plasmid pECAZ155_KPC:NZ_CP019001.1/CP019001.1	-	5	5343	4934	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/125/GCF_002012125.1_ASM201212v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/125/GCA_002012125.1_ASM201212v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.31	0.85	16.67	5090221	0	5	5	4690903	4690903	1018044	1018044	4690903	4690903	50.9	3.01	87.48	11	4865	4	1191	12	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012145.1	Escherichia coli strain Ecol_AZ159, complete genome	B2	Escherichia coli	Ecol_AZ159	19668	SAMN05511159 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.10193	50.6811	chromosome:NZ_CP019008.1/CP019008.1; plasmid pECAZ159_1:NZ_CP019007.1/CP019007.1; plasmid pECAZ159_2:NZ_CP019006.1/CP019006.1	-	3	5251	4912	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/145/GCF_002012145.1_ASM201214v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/145/GCA_002012145.1_ASM201214v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.33	0	5101928	0	3	3	4926149	4926149	1700642	1700642	4926149	4926149	50.6	0.59	87.71	11	4756	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012165.1	Escherichia coli strain Ecol_AZ162, complete genome	B2	Escherichia coli	Ecol_AZ162	19668	SAMN05511185 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.35187	50.6865	chromosome:NZ_CP019015.1/CP019015.1; plasmid pECAZ162_2:NZ_CP019013.1/CP019013.1; plasmid pECAZ162_KPC:NZ_CP019014.1/CP019014.1	-	3	5599	5254	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/165/GCF_002012165.1_ASM201216v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/165/GCA_002012165.1_ASM201216v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.96	15.38	5351874	0	3	3	5099988	5099988	1783958	1783958	5099988	5099988	50.7	2.89	87.74	11	5067	1	1159	13	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012185.1	Escherichia coli strain Ecol_422, complete genome	A	Escherichia coli	Ecol_422	19668	SAMN05511153 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.2158	50.5447	chromosome:NZ_CP018962.1/CP018962.1; plasmid pEC422_1:NZ_CP018961.1/CP018961.1; plasmid pEC422_2:NZ_CP018960.1/CP018960.1; plasmid pEC422_4:NZ_CP018958.1/CP018958.1; plasmid pEC422_KPC:NZ_CP018959.1/CP018959.1	-	5	5436	4978	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/185/GCF_002012185.1_ASM201218v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/185/GCA_002012185.1_ASM201218v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.67	0.15	0	5215799	0	5	5	4747607	4747607	1043159	1043159	4747607	4747607	50.6	2.01	87.13	11	4945	2	1167	4	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012205.1	Escherichia coli strain Ecol_867, complete genome	B2	Escherichia coli	Ecol_867	19668	SAMN05511148 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.0658	50.8406	chromosome:NZ_CP018983.1/CP018983.1; plasmid pEC867_1:NZ_CP018982.1/CP018982.1; plasmid pEC867_3:NZ_CP018980.1/CP018980.1; plasmid pEC867_KPC:NZ_CP018981.1/CP018981.1	-	4	5260	4904	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/205/GCF_002012205.1_ASM201220v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/205/GCA_002012205.1_ASM201220v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.33	0	5065803	0	4	4	4947532	4947532	1266450	1266450	4947532	4947532	50.8	4.27	87.85	11	4754	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012225.1	Escherichia coli strain Ecol_881, complete genome	B2	Escherichia coli	Ecol_881	19668	SAMN05511150 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.59755	50.4424	chromosome:NZ_CP019029.1/CP019029.1; plasmid pEC881_1:NZ_CP019028.1/CP019028.1; plasmid pEC881_2:NZ_CP019027.1/CP019027.1; plasmid pEC881_4:NZ_CP019025.1/CP019025.1; plasmid pEC881_5:NZ_CP019024.1/CP019024.1; plasmid pEC881_6:NZ_CP019023.1/CP019023.1; plasmid pEC881_7:NZ_CP019022.1/CP019022.1; plasmid pEC881_8:NZ_CP019021.1/CP019021.1; plasmid pEC881_KPC:NZ_CP019026.1/CP019026.1	-	9	5837	5421	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/225/GCF_002012225.1_ASM201222v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/225/GCA_002012225.1_ASM201222v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	1.3	15.79	5597549	0	9	9	5262974	5262974	621949	621949	5262974	5262974	50.5	2.14	87.74	11	5331	1	1155	16	1	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012245.1	Escherichia coli strain Ecol_AZ153, complete genome	B2	Escherichia coli	Ecol_AZ153	19668	SAMN05511160 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.25275	50.9192	chromosome:NZ_CP019000.1/CP019000.1; plasmid pECAZ153_2:NZ_CP018998.1/CP018998.1; plasmid pECAZ153_3:NZ_CP018997.1/CP018997.1; plasmid pECAZ153_4:NZ_CP018996.1/CP018996.1; plasmid pECAZ153_KPC:NZ_CP018999.1/CP018999.1	-	5	5527	5153	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/245/GCF_002012245.1_ASM201224v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/245/GCA_002012245.1_ASM201224v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.33	0	5252746	0	5	5	4998584	4998584	1050549	1050549	4998584	4998584	50.9	2.27	87.64	11	4991	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_002012265.1	Escherichia coli strain Ecol_AZ161, complete genome	B2	Escherichia coli	Ecol_AZ161	19668	SAMN05511166 	PRJNA316786	Proteobacteria	Gammaproteobacteria	5.17304	50.8489	chromosome:NZ_CP019012.1/CP019012.1; plasmid pECAZ161_1:NZ_CP019011.1/CP019011.1; plasmid pECAZ161_3:NZ_CP019009.1/CP019009.1; plasmid pECAZ161_KPC:NZ_CP019010.1/CP019010.1	-	4	5399	5047	2017-03-03	2017-03-06	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/265/GCF_002012265.1_ASM201226v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/265/GCA_002012265.1_ASM201226v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.33	0	5173038	0	4	4	4911496	4911496	1293259	1293259	4911496	4911496	50.9	1.3	87.77	11	4871	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
